MLS_Number,Street_Address,City,Zip_Code,county,County_Index,SqFtTotal,Lot_Size,Age,BathsTotal,BedsTotal,BathsFull,BathsHalf,DOM,Year_List,Year_Sold,List_Price,Sale_Price,Listing_Date,Sale_Date,Year_Built
TM21-734610,20733 Benz RD ,Santa Clarita,91350,Los Angeles,0,1526,6451,42,2,3,2,0,10,2021,2021,699900,700000,5/20/2021 0:00,5/30/2021 0:00,1979
ME221056236,4058 Castellina WAY ,Manteca,95337,San Joaquin,10,3284,8259,9,4,4,3,1,2,2021,2021,998000,1100000,5/26/2021 0:00,5/28/2021 0:00,2012
CRTR21097360,504 Thomas ST ,Oak View,93022,Ventura,17,1125,7543,48,2,3,2,0,5,2021,2021,700000,695000,4/21/2021 0:00,4/26/2021 0:00,1973
CRNDP2105487,3755 Vista Campana 15,Oceanside,92057,San Diego,5,906,1309,55,1,2,1,0,13,2021,2021,299000,285000,5/17/2021 0:00,5/30/2021 0:00,1966
CC40948779,429 Calico Ct ,San Ramon,94582,Contra Costa,6,3850,10420,16,4,5,4,0,4,2021,2021,2288000,2625125,5/20/2021 0:00,5/24/2021 0:00,2005
CRBB21107239,2174 N Mills AVE ,Claremont,91711,Los Angeles,0,2990,11880,43,5,5,5,0,7,2021,2021,1099998,1150000,5/19/2021 0:00,5/26/2021 0:00,1978
CRPW21108298,1238 Hampton CT ,Fullerton,92831,Orange,2,2199,4250,21,3,3,2,1,6,2021,2021,1150000,1205000,5/19/2021 0:00,5/25/2021 0:00,2000
CROC21095003,1 Roncal ST ,Ladera Ranch,92694,Orange,2,1625,4140,7,2,2,2,0,3,2021,2021,899000,930000,5/25/2021 0:00,5/28/2021 0:00,2014
CRTR21098395,801 Hampshire LN ,La Habra,90631,Orange,2,1520,2000,44,2,4,1,1,20,2021,2021,596000,645000,5/4/2021 0:00,5/24/2021 0:00,1977
CRSW21114737,3588 Cherry Blossom LN ,Lake Elsinore,92530,Riverside,1,1834,6098,34,3,4,3,0,3,2021,2021,487500,511000,5/27/2021 0:00,5/30/2021 0:00,1987
ML81844452,60 Crazy Horse Canyon RD ,Prunedale,93907,Monterey,24,2826,256568,34,3,3,3,0,8,2021,2021,734000,850000,5/18/2021 0:00,5/26/2021 0:00,1987
